,departure_id,departure_city,departure_name,departure_latitude,departure_longitude,destination_id,destination_city,destination_name,destination_latitude,destination_longitude,distance
3871,7400002,Stockholm,Stockholm Central,59.33001,18.05763,8601242,Koebenhavns,Koebenhavns Lufthavn st,55.629609,12.649378,522.9377941504487
3896,8098160,Berlin,Berlin Hbf (tief),52.52585,13.368892,8000774,Baden,Baden-Baden,48.790392,8.190773,552.6755386468805
3897,8000774,Baden,Baden-Baden,48.790392,8.190773,8700152,Lyon,Lyon Part Dieu,45.760568,4.859991,420.20208294219896
3898,8700152,Lyon,Lyon Part Dieu,45.760568,4.859991,8704943,Valence,Valence TGV,44.991316,4.978927,86.0398925981287
3899,8704943,Valence,Valence TGV,44.991316,4.978927,8700097,Montpellier,Montpellier Saint-Roch,43.604533,3.880805,177.24179144093296
3900,8700097,Montpellier,Montpellier Saint-Roch,43.604533,3.880805,7100079,Port,Port Bou,42.424725,3.157848,143.7531312638188
3905,7800020,Zagreb,Zagreb Glavni kolodvor,45.804436,15.978704,8100002,Salzburg,Salzburg Hbf,47.813848,13.045514,315.79689218921305
3913,8700012,Paris,Paris Gare de Lyon,48.844839,2.374069,8798014,Paris,Paris Nord Eurostar,48.880697,2.354598,4.233992580097086
3914,8798014,Paris,Paris Nord Eurostar,48.880697,2.354598,7004428,London,London St. Pancras International,51.531922,-0.126361,343.5854202705654
3931,6000103,Dublin,Dublin Port-Stena,53.345388,-6.195168,6000045,Dublin,Dublin Heuston,53.34643,-6.292908,6.489154718717782
3932,6000045,Dublin,Dublin Heuston,53.34643,-6.292908,6000037,Cork,Cork,51.901558,-8.458085,217.17180889339363
3968,7001323,London,London Euston,51.527868,-0.133409,7001537,Manchester,Manchester Piccadilly,53.477286,-2.230493,259.08024326156817
3969,7001537,Manchester,Manchester Piccadilly,53.477286,-2.230493,7001052,Holyhead,Holyhead,53.307615,-4.631135,160.29034739592166
3979,8300057,Domodossola,Domodossola,46.115292,8.296235,8501008,Genève,Genève,46.210209,6.142455,166.20358806233776
3980,8501008,Genève,Genève,46.210209,6.142455,8700012,Paris,Paris Gare de Lyon,48.844839,2.374069,407.1847251857164
3987,8300217,Bologna,Bologna Centrale,44.506142,11.343407,8300046,Milano,Milano Centrale,45.487143,9.204828,200.42973718543712
3989,8300057,Domodossola,Domodossola,46.115292,8.296235,8501609,Brig,Brig,46.319419,7.988093,32.8216274294056
3990,8501609,Brig,Brig,46.319419,7.988093,8501120,Lausanne,Lausanne,46.516795,6.629095,106.46164002447016
3991,8501120,Lausanne,Lausanne,46.516795,6.629095,8700012,Paris,Paris Gare de Lyon,48.844839,2.374069,410.35662838215643
3999,8700013,Paris,Paris Montparnasse,48.840488,2.319577,8798014,Paris,Paris Nord Eurostar,48.880697,2.354598,5.153028979031464
4005,5500003,Budapest,Budapest-Keleti,47.500386,19.08507,8000096,Stuttgart,Stuttgart Hbf,48.785052,9.182589,747.9302727228754
4007,8700011,Paris,Paris Est,48.876976,2.35912,8798014,Paris,Paris Nord Eurostar,48.880697,2.354598,0.529665892272374
4024,8300046,Milano,Milano Centrale,45.487143,9.204828,8500010,Basel,Basel SBB,47.547408,7.589548,260.29055767186884
4025,8500010,Basel,Basel SBB,47.547408,7.589548,8700012,Paris,Paris Gare de Lyon,48.844839,2.374069,412.5111323033779
4029,7001323,London,London Euston,51.527868,-0.133409,7002380,Wolverhampton,Wolverhampton,52.587651,-2.119998,179.80692222575243
4030,7002380,Wolverhampton,Wolverhampton,52.587651,-2.119998,7001052,Holyhead,Holyhead,53.307615,-4.631135,186.30755170798193
4037,7004428,London,London St. Pancras International,51.531922,-0.126361,8798014,Paris,Paris Nord Eurostar,48.880697,2.354598,343.5854202705654
4038,8798014,Paris,Paris Nord Eurostar,48.880697,2.354598,8700012,Paris,Paris Gare de Lyon,48.844839,2.374069,4.233992580097086
4072,8700012,Paris,Paris Gare de Lyon,48.844839,2.374069,8503000,Zürich,Zürich HB,47.378177,8.540211,485.8031761360894
4073,8503000,Zürich,Zürich HB,47.378177,8.540211,8505213,Bellinzona,Bellinzona,46.19543,9.029521,136.68941169077195
4074,8505213,Bellinzona,Bellinzona,46.19543,9.029521,8300046,Milano,Milano Centrale,45.487143,9.204828,79.92005366985376
