airline,airline ID, source airport, source airport id,destination airport, destination airport id, stops, equipment,source_longitude,source_latitude,source_city,source_country,source_country_code,dest_longitude,dest_latitude,dest_city,dest_country,dest_country_code,distance,new_source_latitude,new_source_longitude,new_dest_latitude,new_dest_longitude,new_distance,color,emissions
IG,3463,CAG,1519.0,VRN,1550.0,0.0,M80,90.5428,39.251499,Cagliari,Italy,IT,10.8885,45.395699,Villafranca,Italy,IT,6311.494029986425,39.23054,9.11917,44.03297,8.10525,540.6007145241374,#FF3333,695314.3432985067
IG,3463,CDG,1382.0,OLB,1520.0,0.0,M80 320,25.5,49.012798,Paris,France,FR,95.1763,40.898701,Olbia,Italy,IT,5360.6107788852405,-26.9033,27.45727,36.90812,30.69556,2642.1329574807646,#FF3333,590717.1856773765
IG,3463,CTA,1509.0,MLA,1606.0,0.0,319,15.0664,37.466801,Catania,Italy,IT,14.4775,35.857498,Malta,Malta,MT,186.4953514593584,37.49223,15.07041,35.9440174,14.3795242,182.8340429026823,#FF3333,21564.488660529423
IG,3463,FCO,1555.0,FUE,1051.0,0.0,320,12.2388889,41.8002778,Rome,Italy,IT,-1.38638000488281,28.4526996612548,Fuerteventura,Spain,ES,1928.35564093401,41.89193,12.51133,-14.053676,28.358744,NA,#FF3333,213169.12050274108
IG,3463,FCO,1555.0,OLB,1520.0,0.0,M80,12.2388889,41.8002778,Rome,Italy,IT,95.1763,40.898701,Olbia,Italy,IT,6629.839956640738,41.89193,12.51133,36.90812,30.69556,1653.9179107915072,#FF3333,730332.3952304812
IG,3463,FUE,1051.0,MXP,1524.0,0.0,737,-1.38638000488281,28.4526996612548,Fuerteventura,Spain,ES,87.2811,45.6306,Milan,Italy,IT,7696.277830188581,-14.053676,28.358744,45.46427,9.18951,NA,#FF3333,847640.5613207439
IG,3463,FUE,1051.0,VRN,1550.0,0.0,320,-1.38638000488281,28.4526996612548,Fuerteventura,Spain,ES,10.8885,45.395699,Villafranca,Italy,IT,2171.362524276536,-14.053676,28.358744,44.03297,8.10525,NA,#FF3333,239899.87767041897
IG,3463,LIN,1529.0,MLA,1606.0,0.0,319,92.7674,45.445099,Milan,Italy,IT,14.4775,35.857498,Malta,Malta,MT,6427.521091321344,45.46427,9.18951,35.9440174,14.3795242,1144.8001081376194,#FF3333,708077.3200453479
IG,3463,LIN,1529.0,OLB,1520.0,0.0,M80,92.7674,45.445099,Milan,Italy,IT,95.1763,40.898701,Olbia,Italy,IT,541.8975488634442,45.46427,9.18951,36.90812,30.69556,2026.7075445409014,#FF3333,60658.730374978855
IG,3463,MXP,1524.0,TFS,1056.0,0.0,320,87.2811,45.6306,Milan,Italy,IT,-1.65725002289,28.044500351,Tenerife,Spain,ES,7746.280904213841,45.46427,9.18951,9.93303,-74.69346,NA,#FF3333,853140.8994635225
IG,3463,NAP,1561.0,OLB,1520.0,0.0,M80 737,14.2908,40.886002,Naples,Italy,IT,95.1763,40.898701,Olbia,Italy,IT,6530.452471463766,40.85631,14.24641,36.90812,30.69556,1487.312985377946,#FF3333,719399.7718610143
